,uID,Verb,Embedding,Context,Target,Prompt,ModalType,MatTense,MatSubjLemma,MatSubjPer,MatSubjNum,Embedding,genre,factive,mean.noTarget,sd.noTarget,Mean,SD,Reponses,gold_label,vote_count,agreement,mean_vote
1,BNC-1,admit,conditional,Polly had to think quickly.,They were still close enough to shore for him to return her to the police if she admitted she was not an experienced ocean sailor.,Polly was not an experienced ocean sailor,,future,she,third,singular,conditional,BNC,no,-0.111111111,1.269295518,2,0.866025404,"2, 3, 3, 1, 3, 1, 2, 1, 2",entailment,9,1.000000,2.000000
2,BNC-1002,say,modal,"Nevertheless, life went on as it always does. By the accidents of distance and dates of birth both the Kiwi Keith and the Mackenzie houses had been spared the effects of war and neither knew the pain of loss or the sadness of wounds in young bodies.",Indeed it could be said that they had prospered.,the Kiwi Keith and the Mackenzie houses had prospered,CI,present,it,third,singular,modal,BNC,no,1.2,1.87379591,1.875,0.83452296,"2, 1, 3, 1, 2, 2, 3, 1",entailment,8,1.000000,1.875000
6,BNC-1010,say,modal,"In the clenched-to-cracking night We mouthed the hope, gave it a name: twenty-sixty-two still trembles in the flinching air and catches, bright rag on a bramble. At supper earlier the three of us had talked of Californian scientists who see the foetal heart accelerate translucent fingers tense and eye-muscles steer frantically through their dark when sounds of a high-revving motor are played to swelling, quizzically-smiling moms and wondered if there's anywhere on earth-Australasia or Amazonian forest-to find an unborn innocent of engines.",Then it was time to watch ``Tomorrow's World'' and I thought of Sheila with her firstborn encircling him with Mozart in the womb but waking him at three months ' old to be a witness to be held up towards the moon on television so one day he could say he 'd shared in man's first giant steps.,Sheila's firstborn had shared in man's first giant steps,AB,past,he,third,singular,modal,BNC,no,-0.555555556,1.810463415,1.875,0.83452296,"3, 2, 1, 1, 1, 2, 2, 3",entailment,8,1.000000,1.875000
9,BNC-1015,say,modal,It was a complex language. Not written down but handed down.,One might say it was peeled down.,the language was peeled down,CI,present,one,third,singular,modal,BNC,no,-0.636363636,1.501514387,2,0.707106781,"2, 1, 1, 2, 2, 2, 3, 2, 3",entailment,9,1.000000,2.000000
12,BNC-1020,say,modal,"Perhaps I should apologize for my tears. As a rationalist, I had but to snap my rational fingers, it might be argued, and the devil would fade away in a puff of smoke.",To which I might say that rationalist or not I had spent too many years in my capacity as church architect investigating the fossils of a dead faith not to have imbibed something of the old superstitions.,he had spent too many years in his capacity as church architect investigating the fossils of a dead faith not to have imbibed something of the old superstitions,CI,present,I,first,singular,modal,BNC,no,0.25,1.164964745,2.25,1.38873015,"3, 2, 2, 3, 3, -1, 3, 3",entailment,8,0.875000,2.250000
13,BNC-1024,say,modal,"It is part of their religion, a religion I do not scoff at as it holds many elements which match our own even though it lacks the truth of ours. At one of their great festivals they have the ritual of driving out the devils from their bodies.",First the drummers come on - I may say that no women are allowed to take part in this ritual and the ladies here will perhaps agree with me that they are fortunate in that omission.,no women are allowed to take part in this ritual,CI,present,I,first,singular,modal,BNC,no,-0.25,0.707106781,2.666666667,0.707106781,"2, 3, 3, 3, 3, 3, 3, 1, 3",entailment,9,1.000000,2.666667
17,BNC-1046,say,modal,"The Paris to Rouen railway was being extended to Le Havre, and the line cut straight through Dr Flaubert's land. Part of it was to be compulsorily purchased.",You could say that Gustave was shepherded into creative retreat at Croisset by epilepsy.,Gustave was shepherded into creative retreat at Croisset by epilepsy,CI,present,you,second,unknown,modal,BNC,no,-0.75,1.38873015,1.375,1.187734939,"2, 1, -1, 3, 1, 2, 1, 2",entailment,8,0.875000,1.375000
18,BNC-1047,say,modal,Part of it was to be compulsorily purchased. You could say that Gustave was shepherded into creative retreat at Croisset by epilepsy.,You could also say he was driven there by the railway.,Gustave was driven to creative retreat in Croisset by the railway,CI,present,you,second,unknown,modal,BNC,no,1.5,2,1.875,0.83452296,"1, 2, 1, 3, 2, 2, 3, 1",entailment,8,1.000000,1.875000
20,BNC-1049,say,modal,"Some of them, like for instance the farm in Connecticut, are quite small. If I like a place I buy it.",I guess you could say it's a hobby.,buying places is a hobby,CI,present,you,second,unknown,modal,BNC,no,1.363636364,0.809039835,2,0.755928946,"2, 2, 2, 2, 1, 3, 1, 3",entailment,8,1.000000,2.000000
21,BNC-1055,say,modal,When Matt married Inez I was left high and dry. A year later I met a sales rep for an agricultural firm and married him.,You could say it was on the rebound but I had no reason to regret it.,the marriage was on the rebound,CI,present,you,second,unknown,modal,BNC,no,1.181818182,1.778661397,2.555555556,0.527046277,"2, 3, 2, 2, 3, 3, 3, 2, 3",entailment,9,1.000000,2.555556
23,BNC-1063,say,modal,"Look, my dear, I'm not in my dotage yet, and I know I'm a grumbler and a complainer.",You could say the only form of comfort I 've got are my complaints.,the only form of comfort he has are his complaints,CI,present,you,second,unknown,modal,BNC,no,1.181818182,1.167748416,2.625,0.51754917,"3, 3, 3, 2, 2, 3, 2, 3",entailment,8,1.000000,2.625000
24,BNC-1066,say,modal,I should think that just about everyone was having a go at everyone else by the time it ended.,But I suppose you could say that it was a war that needed fighting.,it was a war that needed fighting,CI,present,you,second,unknown,modal,BNC,no,0.545454545,0.820199532,2.333333333,0.866025404,"3, 3, 1, 3, 3, 2, 2, 3, 1",entailment,9,1.000000,2.333333
25,BNC-1068,see,modal,"Then the silence in the Zoo became complete. Woil stared around him and then suddenly with a push of his wings raised himself into the air, turned, and landed ten feet away on the back of a green bench.",Creggan could see that he was afraid and that his fear was making him terribly uncertain.,Woil was afraid,AB,present,Creggan,third,singular,modal,BNC,yes,0.545454545,1.694912173,1.875,1.642080562,"2, 2, 3, 3, 3, -2, 2, 2",entailment,8,0.875000,1.875000
26,BNC-1069,see,modal,The car engine roared again and the red car moved off but it didn't go far. Stuart's Mum was reversing out of her space and her car was blocking the way.,Stuart could see that the red car was going to turn back.,the red car was going to turn back,AB,present,Stuart,third,singular,modal,BNC,yes,0.2,1.398411798,2.5,0.755928946,"3, 3, 1, 3, 3, 2, 2, 3",entailment,8,1.000000,2.500000
28,BNC-1070,see,modal,"He opened the door and smiled because a good-looking woman was arriving to keep a date. Sophie sat down at Pascoe's table and said, ``I thought I 'd find you here.''",He could see that something had happened.,something had happened,AB,present,he,third,singular,modal,BNC,yes,1.777777778,1.394433378,2.5,0.755928946,"3, 1, 3, 2, 3, 3, 2, 3",entailment,8,1.000000,2.500000
29,BNC-1071,see,modal,"But, of course, that just wasn't possible. Her disappointment over Jonathan, which had driven her to France in the first place, had been relegated somewhere to the back of her mind.",Now in retrospect she could see that marriage to him would have been a ghastly mistake and that her reaction to discovering that he had been seeing other women while he had been engaged to her had had far more to do with wounded pride than with a wounded heart.,marriage to Jonathan would have been a ghastly mistake,AB,present,she,third,singular,modal,BNC,yes,0.909090909,1.300349603,2.875,0.353553391,"3, 2, 3, 3, 3, 3, 3, 3",entailment,8,1.000000,2.875000
30,BNC-1074,see,modal,Like now. The Community in Knockglen would defend Eve vociferously.,Even some of the Sisters here in Dublin might see that the girl had a point.,the girl had a point,EP,future,some of the sisters,third,plural,modal,BNC,yes,1.4,1.349897115,2,1.118033989,"3, 3, 3, 2, 1, 0, 1, 3, 2",entailment,9,0.888889,2.000000
31,BNC-1075,see,modal,"They were all the same, all noise and sparrow shit, and if the man only knew the idiot scene he cut... ``My fire exploded.'' The fight had fled the Major.",His hands hung simply by his trouser pockets ungloved and Rudakov could see that they trembled.,the Major's hands trembled,AB,present,Rudakov,third,singular,modal,BNC,yes,0.916666667,1.311372171,2.75,0.46291005,"3, 3, 3, 2, 3, 3, 2, 3",entailment,8,1.000000,2.750000
32,BNC-1077,see,modal,"Roman settled them at one of the small tables in a garden at the side of the yard at the Crowned Head. He summoned a girl, who seemed mesmerised by his virile look, and ordered lager for them both.",``I need something stronger than coffee '' he said and Claudia could see that he was under considerable strain.,Roman was under considerable strain,AB,present,Claudia,third,singular,modal,BNC,yes,-0.909090909,1.221027883,2.555555556,0.726483157,"3, 3, 3, 2, 2, 1, 3, 3, 3",entailment,9,1.000000,2.555556
33,BNC-1080,see,modal,"``They have to be crushed, Bobkins!'' So saying, she marched off down the gravel path, making the kind of crunching noise Robert had thought could only be produced by the BBC sound-effects department.",As they rounded the edge of the building he could see that behind the house was a vast garden.,behind the house was a vast garden,AB,present,he,third,singular,modal,BNC,yes,-0.181818182,1.470930441,2.875,0.353553391,"2, 3, 3, 3, 3, 3, 3, 3",entailment,8,1.000000,2.875000
35,BNC-1083,see,modal,The women were much easier to supervise and hold. So he refused to accept Dule in exchange.,Kit ordered Ariel brought so that the islanders could see she was as well as could be expected and recovering from the wound to her thigh.,Ariel was as well as could be expected,AB,present,islander,third,plural,modal,BNC,yes,0,1.5,2.125,1.246423455,"0, 1, 3, 3, 3, 1, 3, 3",entailment,8,0.875000,2.125000
36,BNC-1086,see,modal,``Do you mind if I use your phone?'',Ronni could see that Guido's brain was whirring.,Guido's brain was whirring,AB,present,Ronni,third,singular,modal,BNC,yes,-0.2,1.032795559,2.222222222,1.092906421,"3, 3, 1, 3, 0, 2, 3, 2, 3",entailment,9,0.888889,2.222222
37,BNC-1087,see,modal,"It grew bigger with incredible speed, she was whizzing towards it. She must slow down or she 'd miss it.",She took her foot off the accelerator and put it on the brake and as the car slowed she could see now that it was a child a toddler with a red woolly hat on.,it was a child,AB,present,she,third,singular,modal,BNC,yes,-0.818181818,1.167748416,2.875,0.353553391,"3, 3, 3, 3, 3, 3, 2, 3",entailment,8,1.000000,2.875000
38,BNC-1089,see,modal,"``Look, lady, give me a break. I just deliver the stuff, I don't interview it for the Sunday papers.''",He waved the paper at her and even at a distance she could see that it said very little.,the paper said very little,AB,present,she,third,singular,modal,BNC,yes,-0.272727273,1.489356176,2.375,1.060660172,"3, 0, 3, 3, 3, 2, 2, 3",entailment,8,0.875000,2.375000
39,BNC-1091,see,modal,"Alone in the big drawing-room where Annette's choice of bright fabrics had fought hardest, albeit still without winning against her dead in-laws ' passion for darkpanelled gloom Maxim went straight to the telephone. It was the same old-fashioned type as Miss Tuckey's and he unscrewed the mouthpiece carefully but found nothing extra inside.",Looking around he remembered it was difficult to plant bugs actually inside panelling but even his half-trained eye could see that the elaborate cornices and mouldings gave a myriad opportunities to a good wire man.,the elaborate cornices and mouldings gave a myriad opportunities to a good wire man,AB,present,eye,third,singular,modal,BNC,yes,0.3,0.483045892,2.25,0.707106781,"3, 2, 2, 2, 3, 3, 2, 1",entailment,8,1.000000,2.250000
40,BNC-1092,see,modal,"``You 've heard something like that before. Haven't you, Jimmy?''",Jimmy had been shaken by those sounds more shaken than the others for good reason but Cardiff could see that he was unprepared to show it as he pushed himself away from the reception counter.,Jimmy was unprepared to show he had been shaken,AB,present,Cardiff,third,singular,modal,BNC,yes,0.666666667,1.414213562,1.777777778,0.971825316,"3, 2, 2, 2, 1, 3, 0, 2, 1",entailment,9,0.888889,1.777778
41,BNC-1093,see,modal,The other set being in the pocket of Giovanna's overall from which she now drew them and held them up making it clear that they would be relinquished only upon her death and then only into the hands of Signor Kettering. What had occurred was quite contrary to the wishes of the padrone who would be outraged if he ever got to hear of it.,Despite this disastrous beginning however Giovanna would be there in the morning her own family circumstances permitting and she would be much obliged if the Signora would make sure that her children were up and dressed and the breakfast eaten so that she could see that the house was returned to something like the order which Signor Kettering expected of it.,the house was returned to something like the order which Signor Kettering expected of it,AB,future,she,third,singular,modal,BNC,yes,-0.4,1.173787791,2.125,0.991031209,"3, 0, 3, 2, 2, 3, 2, 2",entailment,8,0.875000,2.125000
42,BNC-1094,see,modal,"He spoke Maa fluently and he had unrivalled connections. As women do, she probably knew that she had made an impression on him on the two or three occasions they had met at Muthaiga.",Claudia could see that locking up a Masai for a crime he did not understand was cruel and inhuman.,locking up a Masai for a crime he did not understand was cruel and inhuman,AB,present,Claudia,third,singular,modal,BNC,yes,-0.272727273,1.420627262,3,0,"3, 3, 3, 3, 3, 3, 3, 3",entailment,8,1.000000,3.000000
43,BNC-1095,see,modal,"It was Alan's idea. He made a sour kind of joke out of it, that they must wait until their wedding night.",Carolyn agreed because she could see he meant it although she didn't understand why.,Alan meant it,AB,present,she,third,singular,modal,BNC,yes,0.090909091,1.814086296,2.125,1.726888201,"3, 2, 3, 3, 2, 3, -2, 3",entailment,8,0.875000,2.125000
44,BNC-1099,see,modal,"Biddy was right. In London, I did some serious thinking.",I could see that my character had not improved since I had heard about my expectations.,his character had not improved since he had heard about his expectations,AB,present,I,first,singular,modal,BNC,yes,-0.05,1.394538218,3,0,"3, 3, 3, 3, 3, 3, 3, 3",entailment,8,1.000000,3.000000
45,BNC-1100,see,modal,It was dark and well stormy by the time I got to the Aurora Corona Rest Home and the residents were probably battened down for the night. I parked Armstrong on the road and walked down the short drive to the impressive Gothic porch around the front door.,That at least had a light showing and at first I thought the rest of the building was in total darkness but as I crunched gravel and got closer I could see they used extra thick curtains maybe left-overs from the Blackout.,the residents used extra thick curtains,AB,present,I,first,singular,modal,BNC,yes,-0.272727273,1.420627262,2.777777778,0.666666667,"3, 1, 3, 3, 3, 3, 3, 3, 3",entailment,9,1.000000,2.777778
46,BNC-1101,see,modal,"And if anyone had noticed, maybe I could have just tossed the whole matter off in a casual way. ``Oh, that... it's nothing much...'' No, it's too easy to forget that something which I hardly ever think about now was then a very great concern.",I was aware what could happen I could see that any weakness was pounced upon by the other boys and I knew that I wasn't big enough or belligerent enough to bully my way out of it.,any weakness was pounced upon by the other boys,AB,past,I,first,singular,modal,BNC,yes,0.3,1.33749351,2.333333333,1.658312395,"3, 2, 3, 3, 3, 3, 3, 3, -2",entailment,9,0.888889,2.333333
47,BNC-1102,see,modal,"During that pause I realized that Mala had not been offered a seat, nor any food or drink. The Emissary and his people were behaving as if she simply wasn't there.",I could see that she was scowling and stiffening into a Mark 2 temper so I gave her an encouraging smile - which raised her as I expected to a Mark 3.,Mala was scowling and stiffening into a Mark 2 temper,AB,present,I,first,singular,modal,BNC,yes,0.777777778,0.833333333,2.625,0.744023809,"3, 2, 3, 3, 1, 3, 3, 3",entailment,8,1.000000,2.625000
