index,uID,Context,Target,mean_vote
2,BNC-1003,"He patted her hand. If he had chosen to, Thomas might have told her in no uncertain terms what was wrong.",He might have said to her that some time in the middle of the nineteenth century a cult had grown up around the idea of the home.,0.6666666666666666
3,BNC-1005,"She could see his distorted image in the slanted glass of the car's windows, dim in the background, still lit by his instruments. She wondered how she could ever have thought that she loved him, and why she had stayed with him for so long after she 'd realised that if she ever had, she did not love him now.",Of course she could say it was for the children as people always did... It was true up to a point.,0.875
4,BNC-1006,"She glanced around the room, laying her hot flushed face against the cool pillow, listening to the bang of a cupboard door below, the chinks of crockery. The room seemed empty without him, strange and unfriendly.",Robyn swallowed and took a deep breath trying to compose herself so that when he returned she could say that it was all right she felt fine now.,0
6,BNC-1012,"Dynmouth was becoming a nasty kind of place.'' Poor Miss Poraway,'' Quentin said as they washed the tea dishes, and Lavinia - not feeling agreeably disposed towards Miss Poraway - did not say anything.",She wished she could say she was sorry now not in the middle of the night when he was asleep.,0.8888888888888888
7,BNC-1014,Stan was running a business and needed funds to buy stock and time to work on new finds. The price proposed was on the open market and Stuttgart was happy to offer it.,Some might say that compared to the prices paid for works of art $180 000 is a modest sum for a unique creature - the oldest reptile on earth.,1.375
9,BNC-1018,"Some would say her hair is her finest feature, though Robyn herself secretly hankers after something more muted and malleable, hair that could be groomed and styled according to mood - drawn back in a severe bun like Simone de Beauvoir's, or allowed to fall to the shoulders in a Pre-Raphaelite cloud. As it is, there is not much she can do with her curls except, every now and again, crop them brutally short just to demonstrate how inadequately they represent her character.",Her face is comely enough to take short hair though perfectionists might say that the grey-green eyes are a little close-set and the nose and chin are a centimetre longer than Robyn herself would have wished.,1.5555555555555556
10,BNC-1019,"Hardly, thought Jaq. Nor could Obispal exactly be viewed as incompetent, despite his last-moment slackening of judgement when he charged into that trap in the arcade.",A cynic might say that Obispal's activities were directly responsible for triggering the rebellion and thus for all the deaths including those of millions of bystanders.,1
13,BNC-1031,He looked at me questioningly.,I wished I could say yes I minded like hell it wouldn't cost me much in the circumstances.,1.7777777777777777
14,BNC-1032,"The kitchen radiator doesn't work and the Calorgas fire hadn't warmed the place up yet. I began to wonder about how long hypothermia takes to kill someone, I mean what if I left Mum there overnight - would that be long enough?",I could say that she must have gone wandering.,-2
15,BNC-1035,At this rate I 'll be a Homelessness Statistic. A student!,I could say I'm a student.,1.375
